orderid   custid    itemid  pieces  datetran  
4833      16595998  39      6       11.02.2014
4834      64181979  7       9       15.05.2013
4835      44210973  10      1       26.08.2013
4836      43700055  56      4       07.01.2013
4837      41381823  48      7       07.09.2014
4838      12794180  55      2       18.08.2014
4839      70624933  58      8       15.06.2013
4840      62967991  20      8       02.02.2013
4841      10433414  57      4       04.03.2014
4842      45623911  58      4       02.04.2013
4843      61132039  30      8       12.03.2013
4844      67588891  41      1       14.10.2014
4845      62260715  24      6       18.06.2014
4846      15240088  16      4       09.09.2014
4847      69789126  58      4       08.03.2014
4848      64170349  41      4       30.05.2014
4849      10092871  11      10      03.10.2014
4850      46957910  43      6       10.11.2013
4851      67758684  7       7       22.01.2013
4852      12845884  12      10      24.03.2014
4853      22976612  48      7       07.11.2014
4854      25881761  11      10      15.07.2013
4855      66483115  48      9       21.03.2014
4856      43575857  13      8       08.05.2013
4857      49969447  40      7       04.05.2013
4858      18196225  8       9       19.11.2014
4859      43314988  34      3       12.01.2014
4860      66902932  49      4       14.08.2014
4861      63238373  7       6       06.08.2013
4862      16823842  2       7       22.06.2014
4863      65225237  7       9       18.03.2013
4864      70804818  48      9       17.07.2013
4865      15487938  31      4       13.05.2013
4866      44945370  56      7       28.12.2013
4867      66483115  51      2       06.10.2013
4868      60411317  42      1       11.03.2013
4869      68973152  44      7       12.08.2014
4870      70050503  53      7       03.07.2013
4871      12782467  19      2       02.06.2014
4872      66781558  49      6       26.07.2013
4873      14584981  36      7       22.09.2014
4874      70031096  56      6       27.09.2014
4875      18148166  47      3       27.02.2014
4876      45179131  29      9       07.05.2014
4877      15063593  35      1       22.08.2014
4878      46130110  10      6       09.11.2014
4879      16687981  39      1       14.08.2014
4880      16687981  17      4       19.11.2014
4881      46957910  31      2       03.04.2013
4882      63304651  39      10      23.05.2014
4883      70238812  47      1       03.08.2014
4884      60143622  14      8       31.05.2013
4885      68202130  35      2       15.01.2014
4886      46999787  57      2       08.06.2013
4887      49559834  57      8       19.07.2013
4888      42830052  14      8       19.04.2013
4889      42272653  58      8       04.05.2013
4890      65765036  10      6       25.08.2013
4891      69846081  56      10      11.09.2014
4892      45445435  33      3       21.11.2014
4893      61186040  39      7       19.12.2013
4894      64434729  54      4       13.07.2013
4895      13060104  51      1       11.06.2014
4896      48883191  48      6       19.02.2013
4897      68364571  40      1       16.09.2013
4898      41757513  56      7       06.05.2014
4899      67421318  31      10      20.09.2014
4900      13772139  32      10      29.05.2013
4901      44970919  48      2       20.12.2013
4902      60789549  45      8       30.05.2013
4903      63468107  57      10      18.11.2014
4904      63438348  39      8       28.08.2013
4905      40006000  53      7       06.05.2014
4906      47090022  3       1       04.05.2013
4907      60953586  48      7       12.07.2013
4908      60880423  22      6       25.03.2013
4909      68001975  30      5       15.09.2014
4910      12943282  9       7       26.03.2013
4911      15484921  47      6       18.05.2014
4912      41148690  22      7       09.07.2013
4913      42781949  50      3       31.08.2014
4914      40299473  24      10      08.03.2014
4915      67416705  28      9       20.10.2014
4916      16595998  49      5       28.03.2014
4917      13863614  20      10      19.12.2013
4918      41585208  37      6       07.04.2014
4919      67553135  26      10      29.08.2014
4920      19049951  49      2       22.08.2013
4921      13090411  12      1       23.11.2014
4922      44074042  38      3       14.08.2013
4923      66483603  29      1       25.03.2014
4924      41881222  41      8       02.06.2013
4925      44795599  50      9       18.11.2014
4926      11430508  23      8       05.12.2014
4927      87654326  20      10      13.03.2014
4928      61115495  44      2       29.11.2013
4929      42229766  9       9       19.11.2014
4930      64312275  55      2       24.05.2013
4931      67318967  6       9       22.09.2013
4932      26016516  53      2       23.04.2014
4933      40033686  46      2       25.06.2013
4934      60240440  25      4       18.09.2014
4935      60316144  33      10      07.05.2014
4936      25204530  13      7       11.02.2014
4937      62508539  24      3       23.07.2014
4938      45431086  53      7       21.12.2013
4939      13076434  21      7       21.06.2013
4940      10092871  45      3       09.03.2013
4941      63590565  6       6       18.05.2013
4942      69317909  31      4       04.12.2014
4943      43096417  38      7       02.06.2014
4944      13175874  9       9       14.11.2013
4945      18313973  32      3       01.09.2013
4946      43371183  26      8       08.02.2014
4947      64434729  18      5       21.02.2013
4948      12794180  38      1       04.03.2014
4949      13212095  42      6       25.03.2013
4950      62058061  50      9       15.01.2013
4951      46414002  42      6       27.03.2014
4952      69200394  39      6       03.07.2014
4953      12734446  21      7       12.07.2013
4954      18652930  4       6       21.07.2014
4955      67415768  27      7       16.07.2014
4956      12385654  23      10      07.05.2014
4957      49969447  48      3       05.04.2014
4958      25757253  28      5       28.05.2013
4959      68885881  33      10      06.12.2013
4960      66902932  27      2       17.07.2014
4961      41381823  20      10      09.12.2013
4962      11512857  21      6       14.04.2013
4963      61869325  52      9       24.06.2013
4964      65646207  11      7       31.07.2013
4965      25237471  57      8       16.03.2013
4966      43378218  57      3       03.07.2013
4967      11430508  15      3       30.07.2014
4968      69855790  12      10      03.02.2014
4969      12477761  41      3       22.05.2013
4970      61859303  43      4       15.12.2014
4971      12820288  42      3       18.06.2014
4972      25859358  4       8       15.08.2014
4973      60273615  42      10      04.11.2014
4974      42186188  6       10      15.09.2013
4975      68180586  15      8       06.09.2014
4976      62648756  30      9       05.12.2014
4977      12680591  57      4       05.01.2014
4978      10241230  60      6       23.08.2013
4979      18652930  53      3       27.11.2013
4980      62058061  1       3       23.04.2014
4981      19049951  25      7       24.03.2014
4982      69980128  13      3       07.12.2014
4983      47651075  10      1       23.04.2013
4984      68933089  40      1       17.01.2014
4985      44074042  59      4       30.11.2014
4986      60789549  3       10      01.12.2013
4987      49631501  28      8       28.04.2014
4988      72335297  29      8       23.03.2014
4989      42781949  40      10      31.10.2014
4990      13700553  34      8       24.01.2014
4991      69410305  31      1       09.08.2014
4992      65666968  46      3       22.05.2014
4993      00025534  36      9       23.07.2014
4994      15019772  29      7       13.09.2014
4995      13619063  21      10      14.03.2013
4996      40548872  37      8       30.11.2013
4997      42014328  54      9       26.06.2013
4998      16180208  55      5       23.02.2014
4999      41818067  59      4       10.01.2013
5000      49508903  28      6       13.01.2013
5001      44368801  48      5       22.06.2013
5002      13506731  57      9       08.09.2013
5003      65684346  59      7       13.09.2013
5004      69311609  9       6       31.03.2013
5005      40022641  43      2       29.01.2014
5006      47118539  33      8       11.12.2014
5007      18557791  47      7       20.09.2013
5008      66190998  52      9       21.11.2014
5009      68973152  8       7       16.08.2013
5010      67771645  40      4       14.01.2013
5011      13477153  10      5       05.01.2014
5012      43718558  23      5       24.04.2013
5013      48864293  54      5       05.02.2013
5014      40022641  44      9       13.09.2014
5015      16424701  38      8       16.09.2014
5016      66902932  27      7       05.10.2013
5017      41178203  20      6       23.07.2014
5018      16172752  12      1       08.03.2013
5019      47651075  3       4       02.03.2013
5020      64573699  33      4       29.08.2014
5021      14539888  10      10      17.01.2013
5022      66893771  35      1       28.04.2013
5023      25601474  42      10      16.09.2014
5024      47206578  16      2       12.10.2013
5025      47884207  28      10      01.07.2014
5026      18502539  56      2       21.02.2014
5027      64765661  30      6       04.02.2014
5028      67009468  3       7       13.08.2014
5029      41650727  23      2       22.03.2013
5030      45707502  41      4       05.03.2013
5031      40484157  52      10      11.10.2013
5032      68885881  35      4       06.05.2014
5033      65952090  5       1       28.02.2013
5034      14908786  6       4       05.03.2014
5035      61170313  57      1       16.06.2013
5036      62637550  54      10      11.08.2013
5037      63403323  8       5       03.08.2013
5038      68927771  28      8       23.01.2014
5039      65006968  10      9       26.09.2014
5040      45788839  27      4       13.08.2013
5041      62251007  55      4       02.12.2014
5042      00533882  12      10      02.12.2014
5043      26273756  15      4       08.08.2013
5044      26419572  10      2       06.02.2014
5045      64894916  40      3       09.11.2014
5046      18788203  54      9       07.07.2013
5047      41679008  50      3       23.03.2013
5048      44958781  37      3       13.07.2014
5049      64765661  46      3       27.04.2013
5050      45981728  59      9       25.07.2014
5051      12865320  8       4       31.01.2013
5052      42259380  40      10      22.06.2013
5053      69917060  51      2       22.06.2014
5054      68926251  14      1       13.12.2014
5055      43113265  37      10      23.10.2013
5056      45046531  26      2       02.01.2014
5057      70171475  14      3       07.01.2014
5058      10273026  14      5       25.08.2013
5059      45581185  45      10      29.06.2013
5060      41834658  45      9       13.11.2013
5061      68811730  52      10      19.02.2013
5062      64977544  58      1       20.01.2013
5063      62189450  42      4       21.08.2013
5064      15777383  48      9       30.12.2013
5065      60494158  24      7       21.02.2013
5066      41915259  24      2       06.11.2013
5067      12021938  10      9       19.10.2013
5068      69317909  5       10      06.07.2013
5069      68167563  53      9       24.08.2014
5070      13307878  44      2       19.08.2014
5071      12907375  11      9       02.03.2014
5072      66164311  13      1       21.10.2014
5073      43523889  8       3       04.05.2013
5074      62558439  9       9       28.09.2013
5075      40292266  42      5       03.09.2014
5076      41704631  55      2       04.09.2013
5077      42204909  28      4       29.10.2013
5078      64765661  52      9       27.01.2014
5079      66392934  33      7       23.04.2014
5080      49243748  33      10      17.09.2013
5081      43700055  15      7       09.07.2014
5082      67758684  36      9       10.12.2013
5083      70301263  15      10      06.12.2014
5084      42339111  11      10      21.07.2013
5085      40139972  34      1       24.04.2014
5086      16218663  11      1       15.02.2013
5087      26584034  14      2       19.03.2013
5088      69410305  32      1       06.09.2014
5089      41051491  44      4       12.03.2014
5090      62018116  23      8       29.07.2014
5091      40279863  16      4       10.07.2014
5092      12477761  55      8       23.02.2014
5093      44633904  43      5       10.05.2014
5094      48742619  59      9       06.08.2014
5095      67421318  11      6       17.02.2013
5096      26425939  17      6       17.11.2014
5097      26425939  57      3       29.08.2014
5098      44943890  29      1       16.05.2013
5099      13004654  28      10      28.09.2014
5100      49470370  24      4       11.02.2013
5101      40758591  15      9       12.07.2013
5102      67506151  23      7       03.10.2013
5103      11424052  3       1       11.07.2013
5104      48583405  19      3       24.03.2014
5105      70050503  28      3       12.11.2013
5106      64818055  38      7       01.08.2013
5107      41226119  26      3       17.07.2013
5108      47927551  15      5       15.08.2013
5109      68926251  17      1       14.07.2014
5110      25170914  35      5       05.11.2014
5111      47313391  31      8       11.08.2013
5112      43927751  16      9       21.08.2013
5113      42691494  60      9       22.02.2013
5114      25237471  46      9       29.11.2014
5115      12743038  20      2       14.03.2013
5116      12385654  33      4       12.09.2013
5117      70624933  27      4       12.10.2014
5118      49099299  26      5       29.10.2014
5119      49969447  54      3       04.07.2013
5120      26016516  45      3       30.05.2014
5121      43725945  3       1       08.08.2013
5122      70106126  19      7       14.11.2013
5123      60685646  34      2       25.03.2014
5124      68180586  57      5       19.11.2014
5125      60632381  43      4       11.09.2013
5126      16619072  6       1       02.06.2013
5127      44031416  17      3       28.02.2014
5128      13700553  10      8       20.11.2014
5129      12943282  15      4       11.08.2013
5130      13506731  34      1       11.08.2013
5131      49508903  38      1       23.02.2014
5132      61156299  9       2       04.01.2013
5133      46273662  1       8       28.11.2013
5134      61284041  28      9       09.07.2013
5135      46746503  26      8       26.03.2014
5136      16218663  40      3       08.05.2013
5137      63766914  7       9       23.02.2014
5138      25510057  53      8       10.08.2013
5139      62738208  55      8       29.03.2014
5140      45976104  20      7       05.01.2013
5141      65334132  39      3       14.01.2014
5142      68973152  44      7       06.11.2014
5143      26130495  34      9       30.10.2014
5144      65181484  21      5       16.09.2014
5145      60122102  25      1       02.09.2014
5146      67996603  15      4       09.07.2013
5147      13753878  44      4       15.07.2013
5148      66026067  49      4       26.03.2013
5149      48325201  19      8       08.09.2013
5150      12865320  48      8       26.05.2014
5151      19049951  60      5       21.04.2014
5152      63619067  41      3       16.01.2013
5153      42830052  15      7       24.09.2014
5154      61493686  53      10      13.09.2014
5155      66893771  19      1       14.03.2014
5156      11500794  15      8       23.11.2014
5157      47884207  13      6       06.02.2013
5158      67963161  41      8       09.09.2014
5159      66445469  9       10      01.02.2013
5160      19027036  60      3       31.08.2014
5161      14685914  24      2       20.12.2013
5162      49243748  18      1       02.04.2014
5163      72223464  20      2       05.09.2014
5164      25204530  50      8       15.06.2014
5165      49534203  32      1       14.07.2014
5166      44575491  16      9       30.08.2014
5167      72338601  59      10      27.06.2013
5168      66026067  5       6       06.05.2014
5169      43113265  49      7       09.05.2013
5170      62189450  24      2       28.06.2014
5171      45973784  33      8       14.02.2014
5172      71613498  16      7       15.03.2014
5173      43351816  55      6       17.04.2013
5174      48103764  22      1       06.08.2014
5175      15290280  4       1       08.09.2014
5176      64805140  49      3       19.03.2013
5177      71046607  18      3       22.02.2014
5178      44007132  1       1       09.04.2013
5179      42593883  53      9       17.09.2013
5180      13519158  49      6       29.01.2014
5181      26480654  26      5       07.11.2013
5182      43113265  56      3       21.04.2013
5183      65051034  2       7       07.08.2013
5184      18128149  1       9       31.12.2013
5185      47980745  40      6       01.12.2014
5186      71693998  46      5       26.10.2013
5187      49099868  24      3       22.05.2013
5188      64767451  53      9       07.12.2014
5189      40299473  47      10      13.03.2013
5190      14498804  16      4       18.11.2013
5191      40860931  58      3       01.12.2014
5192      61139629  55      6       14.04.2014
5193      65051034  30      9       17.08.2014
5194      47845473  55      4       04.07.2014
5195      65549031  14      7       30.07.2013
5196      42741980  13      1       08.10.2013
5197      61156299  11      9       04.10.2014
5198      12169463  29      10      27.06.2014
5199      72192823  35      2       07.08.2014
5200      15190706  53      1       20.07.2013
5201      16180208  18      10      22.10.2013
5202      63636701  40      4       30.03.2013
5203      13511297  45      7       13.09.2014
5204      26415470  41      2       25.02.2013
5205      63238373  44      1       17.04.2014
5206      61606880  58      10      15.11.2013
5207      43700055  49      8       10.02.2014
5208      49099868  11      6       10.02.2013
5209      60632381  39      1       12.04.2013
5210      68549407  21      2       21.08.2013
5211      18671250  57      2       25.04.2014
5212      63092077  3       7       12.09.2013
5213      15477410  54      4       20.10.2013
5214      15430481  50      4       23.01.2014
5215      64842878  53      8       20.10.2013
5216      11239751  57      2       12.02.2013
5217      61913791  34      4       24.06.2014
5218      16114299  14      1       28.05.2014
5219      41679008  7       5       09.11.2013
5220      10419292  19      4       28.02.2014
5221      15430481  53      3       02.02.2014
5222      16430565  37      5       19.10.2013
5223      65402599  17      7       18.12.2013
5224      46892761  6       1       05.01.2014
5225      41704631  38      9       17.12.2014
5226      64923924  43      2       17.06.2013
5227      41679008  25      10      08.11.2013
5228      13772139  49      6       23.11.2014
5229      22974920  10      5       13.02.2013
5230      45445435  58      8       19.11.2014
5231      15596460  49      5       22.07.2013
5232      60411317  57      7       11.03.2014
5233      44042019  22      10      19.12.2013
5234      11239751  37      3       31.03.2014
5235      14884631  13      1       22.11.2014
5236      70315817  33      4       18.11.2014
5237      70171475  19      7       10.06.2014
5238      70031096  58      4       04.09.2014
5239      15777383  7       4       10.04.2013
5240      65339291  36      9       30.08.2014
5241      12782467  15      7       01.12.2013
5242      49555049  42      9       13.03.2014
5243      16758277  47      6       11.12.2013
5244      63958023  41      8       22.06.2014
5245      61910333  57      4       18.09.2014
5246      43531016  11      7       14.05.2014
5247      13815300  56      6       03.04.2013
5248      40026329  12      2       13.10.2014
5249      68939949  29      1       15.08.2013
5250      15665356  13      4       21.06.2013
5251      15240088  2       5       04.02.2014
5252      67668569  41      9       18.12.2013
5253      72987898  34      5       03.04.2014
5254      12352497  14      7       07.05.2014
5255      60720182  38      3       21.06.2013
5256      68926251  17      7       15.04.2014
5257      60043806  40      4       10.01.2014
5258      67604391  47      7       06.06.2013
5259      49191144  23      3       20.10.2013
5260      69980128  25      7       01.11.2014
5261      46892761  2       2       11.04.2013
5262      60240440  11      8       12.09.2014
5263      49310569  39      5       21.08.2014
5264      47651075  44      9       13.11.2013
5265      67614311  57      5       28.09.2013
5266      43698697  58      9       26.09.2013
5267      70805792  51      5       29.12.2013
5268      61405957  59      1       19.05.2013
5269      15063593  7       1       29.12.2013
5270      41669240  8       6       13.11.2014
5271      63611279  60      1       28.07.2014
5272      25732471  31      3       13.08.2014
5273      13060104  52      3       14.02.2013
5274      16053648  10      2       02.12.2013
5275      42865301  15      3       21.09.2014
5276      49631501  30      7       12.04.2014
5277      65666968  19      6       30.01.2013
5278      15922626  10      1       14.10.2013
5279      48808511  36      5       19.09.2013
5280      62093568  30      8       28.12.2014
5281      62093568  5       5       27.02.2014
5282      15783197  10      10      14.09.2014
5283      49534203  8       7       17.09.2014
5284      44719817  27      8       10.10.2014
5285      15457664  42      7       10.12.2014
5286      69004331  50      9       01.11.2014
5287      44007132  16      3       16.03.2013
5288      70628041  6       4       12.01.2013
5289      12680591  45      3       03.12.2013
5290      41473167  7       2       10.10.2013
5291      16155271  14      9       20.08.2013
5292      48360886  7       5       25.12.2013
5293      70238812  10      10      18.12.2013
5294      67918654  25      2       07.09.2013
5295      40189929  10      1       19.08.2013
5296      19000553  60      10      26.01.2013
5297      13857771  27      9       13.08.2013
5298      13076434  5       3       03.09.2013
5299      79315241  34      8       16.01.2014
5300      69778841  38      2       25.10.2013
5301      63225425  57      6       22.03.2014
5302      63131820  4       5       05.11.2013
5303      61156299  4       9       19.09.2013
5304      60807261  29      7       14.11.2014
5305      44910193  9       6       30.05.2014
5306      41828283  51      2       06.07.2013
5307      42700337  49      2       11.12.2013
5308      45791571  22      1       06.02.2013
5309      12794180  7       3       12.03.2013
5310      41327853  27      1       04.08.2013
5311      25086839  57      2       03.06.2013
5312      48921441  24      2       08.04.2013
5313      64923924  9       2       29.04.2014
5314      66495091  42      9       11.12.2013
5315      46273662  16      8       12.04.2014
5316      15687830  21      5       02.02.2013
5317      13863797  38      10      10.03.2013
5318      45976104  33      10      01.07.2014
5319      63910403  44      6       27.11.2014
5320      26045176  18      7       13.12.2013
5321      45707502  15      2       08.08.2013
5322      42124492  46      3       16.11.2014
5323      67553135  41      9       17.03.2014
5324      61299006  34      7       04.01.2014
5325      64396606  39      6       18.03.2014
5326      18725627  14      7       27.10.2014
5327      42997178  53      8       30.01.2013
5328      43883991  53      7       13.09.2013
5329      41923006  3       1       17.10.2013
5330      25237471  60      1       21.09.2013
5331      66750628  10      5       05.10.2013
5332      44970919  20      2       24.06.2013
5333      15055582  23      9       07.06.2014
5334      69004331  40      1       17.05.2013
5335      63847612  13      6       04.05.2013
5336      66902932  30      10      25.11.2013
5337      18510396  5       6       28.12.2013
5338      60485604  18      9       23.12.2013
5339      26273756  54      6       03.07.2014
5340      13772139  4       5       03.06.2014
5341      14498804  57      6       27.01.2014
5342      48583405  51      3       06.03.2013
5343      63047233  26      3       31.12.2013
5344      13506731  18      5       23.05.2013
5345      15777383  31      3       28.01.2014
5346      60646233  5       8       19.08.2013
5347      25884824  5       7       07.06.2014
5348      70301263  47      7       19.09.2014
5349      14594439  25      3       08.12.2014
5350      48764957  32      9       05.11.2013
5351      62798545  2       5       06.09.2013
5352      63590565  23      5       19.09.2013
5353      26030659  14      5       23.05.2013
5354      16908392  18      10      29.11.2013
5355      65948807  52      6       12.11.2014
5356      25003232  26      3       05.11.2014
5357      12477761  36      5       15.07.2014
5358      40223451  13      7       20.08.2013
5359      42241839  14      9       11.11.2014
5360      43700055  44      1       20.01.2013
5361      65402599  15      5       02.04.2014
5362      10164537  32      3       20.07.2013
5363      45854939  19      8       06.04.2013
5364      26130495  43      3       01.12.2014
5365      25510057  28      6       26.11.2013
5366      13619063  10      9       24.07.2013
5367      40906027  5       10      09.01.2013
5368      63189151  1       2       02.02.2014
5369      48174009  5       1       07.11.2014
5370      45678774  51      10      08.01.2013
5371      68926251  48      9       15.10.2013
5372      49507559  10      3       03.01.2014
5373      48864293  18      3       05.03.2013
5374      14794501  52      5       18.05.2013
5375      12026611  12      4       12.03.2013
5376      68022948  39      2       25.11.2013
5377      25248430  53      6       09.12.2013
5378      69339856  27      10      16.04.2013
5379      42602017  44      3       10.11.2014
5380      42272653  49      10      24.06.2014
5381      16571002  31      5       12.04.2013
5382      66190998  10      8       10.12.2014
5383      40758591  13      2       17.07.2013
5384      72987898  49      9       11.08.2013
5385      68167563  16      8       07.10.2014
5386      40033686  53      8       01.10.2014
5387      12782467  31      6       15.01.2014
5388      16758277  22      6       18.09.2014
5389      12845884  42      5       28.05.2014
5390      68645546  7       9       29.10.2013
5391      42602017  30      1       22.09.2013
5392      73007447  17      9       22.05.2013
5393      43351816  29      5       24.03.2014
5394      12428027  45      2       13.11.2014
5395      26415470  9       9       02.05.2013
5396      62582062  25      10      07.06.2013
5397      26040000  9       4       24.05.2014
5398      70670251  25      8       05.09.2014
5399      16908392  32      7       17.12.2013
5400      41256751  42      5       23.12.2013
5401      65402599  42      5       01.05.2013
5402      45431086  57      10      29.06.2014
5403      69363137  29      5       15.05.2013
5404      41679008  19      2       14.01.2013
5405      25164724  45      5       29.07.2014
5406      61186040  25      2       04.01.2013
5407      43371183  35      5       14.09.2013
5408      18502539  28      4       14.07.2014
5409      16687981  29      4       28.08.2013
5410      40069419  12      7       27.05.2014
5411      66117127  6       9       24.04.2014
5412      65234081  44      7       25.06.2014
5413      62984748  29      7       09.12.2013
5414      15487938  51      5       17.02.2013
5415      72586761  54      6       17.10.2013
5416      42107598  39      8       02.02.2014
5417      60733667  32      1       10.01.2014
5418      49631501  28      2       20.08.2014
5419      65948807  58      9       18.03.2013
5420      63433613  28      10      15.11.2013
5421      62641697  3       8       19.09.2013
5422      40068820  26      10      09.10.2014
5423      62508539  28      2       10.01.2013
5424      69317909  55      7       11.06.2014
5425      14737001  43      7       01.05.2013
5426      68556578  22      1       02.12.2014
5427      13619063  25      8       20.06.2014
5428      40022641  5       10      04.12.2013
5429      11424052  32      4       26.08.2014
5430      62842226  41      10      17.08.2013
5431      60240440  20      1       10.12.2014
5432      49254227  34      8       05.10.2013
5433      49247760  14      10      12.06.2013
5434      43314988  33      4       20.09.2013
5435      44477937  36      2       09.09.2013
5436      10469958  47      2       16.06.2014
5437      11500794  27      1       08.05.2014
5438      14884631  3       5       01.10.2013
5439      40484157  58      4       28.06.2014
5440      00068365  28      10      21.11.2014
5441      42997178  9       8       21.10.2014
5442      41178203  39      6       15.01.2014
5443      43531016  32      10      09.09.2014
5444      60945427  30      2       25.10.2013
5445      70327912  46      3       18.03.2013
5446      66495091  16      6       02.07.2014
5447      63636701  60      10      26.10.2014
5448      16172752  46      5       30.06.2014
5449      66101018  18      6       24.02.2014
5450      15643514  51      4       25.02.2013
5451      62189450  42      1       20.01.2014
5452      46496041  55      5       05.01.2013
5453      40774805  58      7       20.02.2013
5454      46496041  5       2       17.06.2013
5455      16317645  2       2       12.03.2013
5456      44042019  58      4       07.04.2014
5457      41669240  27      9       16.12.2013
5458      44074042  36      6       30.08.2013
5459      65234081  41      4       12.09.2014
5460      60733667  3       1       22.10.2014
5461      13753878  25      2       08.11.2013
5462      25164724  39      3       28.02.2013
5463      42770149  23      4       22.11.2014
5464      64078248  45      3       13.12.2013
5465      11500794  30      3       28.03.2014
5466      47736372  12      3       13.08.2013
5467      10433414  5       6       02.05.2014
5468      64333213  22      3       16.04.2014
5469      18933203  51      1       07.09.2013
5470      48325201  39      4       07.05.2013
5471      63611279  54      1       14.09.2013
5472      43378218  20      3       01.12.2014
5473      65632036  6       9       22.06.2013
5474      40292266  21      9       23.05.2014
5475      45541108  16      3       26.02.2013
5476      69921172  40      7       16.08.2013
5477      63079577  47      8       27.07.2013
5478      10200509  12      7       25.03.2013
5479      67182241  9       10      07.03.2013
5480      65684346  34      9       04.09.2014
5481      63929091  45      2       14.02.2014
5482      44217544  5       8       31.12.2013
5483      64252604  13      3       13.10.2013
5484      25921967  23      1       30.07.2014
5485      62486641  4       8       09.07.2014
5486      42865301  60      8       22.12.2013
5487      45082197  57      8       09.06.2013
5488      11220058  59      6       03.04.2014
5489      63092077  2       8       07.02.2014
5490      47745916  7       1       23.02.2014
5491      14539888  19      4       17.01.2013
5492      48883191  54      8       09.12.2013
5493      40548872  23      10      08.02.2013
5494      64818055  10      2       29.10.2013
5495      67138225  53      1       21.11.2013
5496      42124492  54      1       26.08.2014
5497      63847612  2       4       10.05.2013
5498      60964731  27      10      24.09.2013
5499      43927751  44      6       19.08.2014
5500      42830052  28      5       30.03.2014
5501      70106126  45      6       25.07.2013
5502      00068365  22      8       29.11.2013
5503      49261592  59      6       03.04.2013
5504      10146181  4       6       07.04.2014
5505      64396606  48      7       03.02.2014
5506      44658419  6       8       12.05.2014
5507      48864293  12      2       27.11.2013
5508      11396661  54      9       21.12.2013
5509      13815300  39      1       16.04.2014
5510      63734206  19      6       12.12.2014
5511      13002317  27      5       06.01.2014
5512      43531016  53      9       03.02.2014
5513      25757253  23      3       29.06.2013
5514      64977544  59      9       29.09.2013
5515      68664826  49      4       27.02.2013
5516      72817372  8       3       06.10.2014
5517      43378218  23      8       22.08.2014
5518      63417413  39      4       04.06.2013
5519      49415433  48      3       05.04.2013
5520      60685646  22      4       18.08.2014
5521      10146181  48      6       22.12.2014
5522      68837526  31      7       04.12.2014
5523      72308494  50      1       04.01.2014
5524      11239751  60      5       20.03.2014
5525      13918630  26      7       23.10.2014
5526      65632036  18      2       15.07.2014
5527      41394101  27      5       28.03.2014
5528      68202130  37      1       13.02.2013
5529      10433414  30      3       01.11.2013
5530      10146181  21      5       29.07.2014
5531      46822992  18      5       19.01.2013
5532      64728773  25      6       07.11.2013
5533      68469519  6       8       11.03.2013
5534      10519670  51      8       19.12.2014
5535      63189151  40      3       23.10.2013
5536      15687830  46      8       11.03.2014
5537      68979291  7       8       12.10.2014
5538      11396661  26      8       17.07.2014
5539      61230774  11      9       06.05.2013
5540      13619063  45      10      02.07.2014
5541      44074042  27      5       28.02.2014
5542      62582062  21      10      07.05.2013
5543      18636322  10      6       16.03.2014
5544      40292266  14      8       24.11.2014
5545      18510396  38      5       27.05.2014
5546      65167490  57      6       14.04.2014
5547      67421318  17      5       06.03.2014
5548      11424052  6       5       16.03.2013
5549      63531739  7       4       14.06.2014
5550      41390903  27      6       10.02.2014
5551      42593883  1       2       15.05.2013
5552      66495091  42      8       29.12.2014
5553      44007132  37      6       04.09.2014
5554      40026329  56      6       25.02.2014
5555      46275797  54      3       14.09.2014
5556      66445469  36      7       06.06.2013
5557      25164724  23      5       20.07.2014
5558      67152228  8       3       13.12.2014
5559      22974920  49      8       12.04.2013
5560      42241839  39      9       13.11.2014
5561      60589299  54      6       25.01.2014
5562      62558439  17      10      23.08.2014
5563      13863614  57      9       13.02.2013
5564      65181484  49      8       26.11.2014
5565      67758684  57      8       24.11.2014
5566      11481072  31      6       15.08.2013
5567      67963161  22      7       24.01.2014
5568      46892761  37      4       05.03.2013
5569      41531591  47      6       27.02.2014
5570      44007132  41      1       09.09.2014
5571      10043772  29      1       11.01.2013
5572      42875412  19      1       01.08.2014
5573      14894238  18      3       21.04.2013
5574      13471279  3       1       28.06.2013
5575      42830052  39      1       29.10.2014
5576      72987898  19      9       30.09.2013
5577      46622314  3       10      02.10.2013
5578      22974920  51      7       19.05.2013
5579      42830052  21      6       17.01.2013
5580      68364571  17      6       16.07.2014
5581      60494158  23      8       18.12.2013
5582      65931963  31      3       01.08.2014
5583      45707502  17      10      29.08.2014
5584      16507509  36      3       01.06.2013
5585      41913752  29      5       12.09.2014
5586      25921967  9       4       22.12.2014
5587      49534203  40      8       23.10.2014
5588      12779385  30      2       16.01.2014
5589      62375512  41      9       30.04.2013
5590      49539191  19      7       06.09.2013
5591      41778952  51      1       15.09.2014
5592      49254227  20      2       30.10.2014
5593      41713401  1       9       08.10.2014
5594      62118137  46      4       29.04.2014
5595      61115495  43      3       17.06.2014
5596      66902932  56      5       12.05.2013
5597      16903901  55      6       05.11.2014
5598      47980745  37      6       04.10.2014
5599      18439179  48      2       28.09.2013
5600      42830052  59      6       18.10.2014
5601      70106126  52      3       26.02.2014
5602      48174009  18      4       04.04.2014
5603      49188909  51      3       17.07.2014
5604      49539191  14      3       18.07.2013
5605      47346531  32      5       05.02.2013
5606      63092077  24      10      10.08.2014
5607      00527815  30      1       01.01.2013
5608      40299473  40      3       22.08.2014
